================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.8124
Std Accuracy: 0.1416
Time Mean: 4.5440 seconds
Time Std: 1.5540 seconds

================================================================================

Detailed Training Logs:
================================================================================

------------------------------------------------------------------------------------------------------

|       6  |      0  |      1.4209  |     0.7197  |   0.5712  |               |              0.4220  |
|          |      1  |      1.4609  |     0.7012  |   0.3585  |               |              0.8468  |
|          |      2  |      2.7891  |     0.2539  |   0.1578  |               |              1.2805  |
|          |      3  |      2.3027  |     0.1533  |   0.1029  |               |              1.6887  |
|          |      4  |      2.2578  |     0.2178  |   0.1155  |               |              2.0915  |
|          |      5  |      2.0566  |     0.3477  |   0.2600  |               |              2.4979  |
|          |      6  |      1.7471  |     0.5010  |   0.4479  |               |              2.9077  |
|          |      7  |      1.5273  |     0.5840  |   0.5682  |               |              3.3056  |
|          |      8  |      1.2900  |     0.7852  |   0.6990  |               |              3.7064  |
|          |      9  |      1.1787  |     0.8398  |   0.8260  |               |              4.0719  |
|          |   eval  |      1.1787  |     0.8398  |   0.8260  |       0.8353  |              4.2431  |
------------------------------------------------------------------------------------------------------

|       7  |      0  |      1.4092  |     0.7197  |   0.5856  |               |              0.4211  |
|          |      1  |      1.4053  |     0.7451  |   0.5773  |               |              0.8549  |
|          |      2  |      1.8896  |     0.4102  |   0.2784  |               |              1.2742  |
|          |      3  |      2.1250  |     0.2754  |   0.1013  |               |              1.6787  |
|          |      4  |      2.0547  |     0.2852  |   0.2130  |               |              2.0797  |
|          |      5  |      2.0703  |     0.2910  |   0.2954  |               |              2.4862  |
|          |      6  |      1.7520  |     0.5127  |   0.1740  |               |              2.8881  |
|          |      7  |      1.2793  |     0.7949  |   0.7109  |               |              3.2875  |
|          |      8  |      1.1816  |     0.8359  |   0.7584  |               |              3.6911  |
|          |      9  |      1.0928  |     0.8887  |   0.8727  |               |              4.0447  |
|          |   eval  |      1.0928  |     0.8887  |   0.8727  |       0.8789  |              4.2177  |
------------------------------------------------------------------------------------------------------

|       8  |      0  |      1.5371  |     0.6514  |   0.5480  |               |              0.4202  |
|          |      1  |      1.4160  |     0.7070  |   0.4073  |               |              0.8410  |
|          |      2  |      3.2129  |     0.1748  |   0.1749  |               |              1.2656  |
|          |      3  |      2.3027  |     0.1133  |   0.1307  |               |              1.6677  |
|          |      4  |      2.2871  |     0.1914  |   0.1076  |               |              2.0682  |
|          |      5  |      2.1465  |     0.2129  |   0.1849  |               |              2.4729  |
|          |      6  |      2.0918  |     0.2842  |   0.2599  |               |              2.8775  |
|          |      7  |      1.8486  |     0.4717  |   0.3675  |               |              3.2815  |
|          |      8  |      1.2695  |     0.7920  |   0.6332  |               |              3.6923  |
|          |      9  |      1.1836  |     0.8340  |   0.8368  |               |              4.0644  |
|          |   eval  |      1.1836  |     0.8340  |   0.8368  |       0.8444  |              4.2369  |
------------------------------------------------------------------------------------------------------

|       9  |      0  |      1.4209  |     0.7031  |   0.6011  |               |              0.4223  |
|          |      1  |      1.5635  |     0.6377  |   0.2636  |               |              0.8518  |
