================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 2.5

Summary Results:
Mean Accuracy: 0.9222
Std Accuracy: 0.0061
Time Mean: 4.1092 seconds
Time Std: 1.6153 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.6846  |     0.5635  |   0.5513  |               |              8.3465  |
|          |      1  |      1.3496  |     0.7646  |   0.6871  |               |              8.7565  |
|          |      2  |      1.2363  |     0.8174  |   0.7958  |               |              9.1833  |
|          |      3  |      1.1562  |     0.8730  |   0.8314  |               |              9.5966  |
|          |      4  |      1.1396  |     0.8760  |   0.8565  |               |             10.0005  |
|          |      5  |      1.1172  |     0.8867  |   0.8635  |               |             10.4144  |
|          |      6  |      1.0664  |     0.9131  |   0.8875  |               |             10.8229  |
|          |      7  |      1.0508  |     0.9258  |   0.8989  |               |             11.2336  |
|          |      8  |      0.9971  |     0.9521  |   0.9199  |               |             11.6449  |
|          |   eval  |      0.9971  |     0.9521  |   0.9199  |       0.9255  |             11.8092  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.7139  |     0.5391  |   0.5836  |               |              0.4186  |
|          |      1  |      1.3584  |     0.7588  |   0.6850  |               |              0.8740  |
|          |      2  |      1.2285  |     0.8271  |   0.7751  |               |              1.3296  |
|          |      3  |      1.1807  |     0.8418  |   0.8157  |               |              1.7347  |
|          |      4  |      1.1865  |     0.8418  |   0.8417  |               |              2.1511  |
|          |      5  |      1.1016  |     0.8994  |   0.8465  |               |              2.5773  |
|          |      6  |      1.0596  |     0.9180  |   0.8839  |               |              2.9991  |
|          |      7  |      1.0293  |     0.9365  |   0.8969  |               |              3.3706  |
|          |      8  |      1.0088  |     0.9463  |   0.9147  |               |              3.7737  |
|          |   eval  |      1.0088  |     0.9463  |   0.9147  |       0.9237  |              3.9393  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.6777  |     0.5781  |   0.5724  |               |              0.4154  |
|          |      1  |      1.3721  |     0.7432  |   0.7473  |               |              0.8561  |
|          |      2  |      1.2510  |     0.8027  |   0.7580  |               |              1.2954  |
|          |      3  |      1.2227  |     0.8379  |   0.8347  |               |              1.6985  |
|          |      4  |      1.1719  |     0.8574  |   0.8293  |               |              2.1072  |
|          |      5  |      1.1152  |     0.8926  |   0.8550  |               |              2.5119  |
|          |      6  |      1.0742  |     0.8975  |   0.8739  |               |              2.9330  |
|          |      7  |      1.0645  |     0.9082  |   0.8933  |               |              3.3509  |
|          |      8  |      1.0039  |     0.9482  |   0.9179  |               |              3.7612  |
|          |   eval  |      1.0039  |     0.9482  |   0.9179  |       0.9296  |              3.9258  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.7109  |     0.5342  |   0.5298  |               |              0.4113  |
|          |      1  |      1.4053  |     0.7305  |   0.7026  |               |              0.8504  |
|          |      2  |      1.2480  |     0.8271  |   0.7550  |               |              1.2908  |
|          |      3  |      1.1904  |     0.8496  |   0.8319  |               |              1.7074  |
|          |      4  |      1.1650  |     0.8564  |   0.8359  |               |              2.1133  |
|          |      5  |      1.1113  |     0.8945  |   0.8564  |               |              2.5191  |
|          |      6  |      1.0566  |     0.9199  |   0.8771  |               |              2.9339  |
|          |      7  |      1.0498  |     0.9150  |   0.8944  |               |              3.3533  |
|          |      8  |      0.9834  |     0.9629  |   0.9202  |               |              3.7877  |
|          |   eval  |      0.9834  |     0.9629  |   0.9202  |       0.9254  |              3.9527  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.7012  |     0.5684  |   0.5429  |               |              0.5396  |
|          |      1  |      1.3877  |     0.7314  |   0.7354  |               |              1.0026  |
|          |      2  |      1.2285  |     0.8467  |   0.7748  |               |              1.4532  |
|          |      3  |      1.2119  |     0.8330  |   0.8212  |               |              1.8623  |
|          |      4  |      1.1973  |     0.8428  |   0.8285  |               |              2.2674  |
|          |      5  |      1.1055  |     0.8906  |   0.8556  |               |              2.6709  |
|          |      6  |      1.0811  |     0.9023  |   0.8789  |               |              3.0797  |
|          |      7  |      1.0547  |     0.9150  |   0.8995  |               |              3.4765  |
|          |      8  |      1.0059  |     0.9463  |   0.9201  |               |              3.8850  |
|          |   eval  |      1.0059  |     0.9463  |   0.9201  |       0.9266  |              4.0505  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.6953  |     0.5449  |   0.5267  |               |              0.4181  |
|          |      1  |      1.3711  |     0.7520  |   0.7100  |               |              0.8245  |
|          |      2  |      1.2559  |     0.8174  |   0.8176  |               |              1.2344  |
|          |      3  |      1.2207  |     0.8301  |   0.7931  |               |              1.6092  |
|          |      4  |      1.1533  |     0.8633  |   0.8517  |               |              1.9838  |
|          |      5  |      1.1230  |     0.8730  |   0.8427  |               |              2.3577  |
|          |      6  |      1.0625  |     0.9199  |   0.8960  |               |              2.7323  |
|          |      7  |      1.0605  |     0.9219  |   0.8981  |               |              3.1063  |
|          |      8  |      1.0098  |     0.9453  |   0.9193  |               |              3.4811  |
|          |   eval  |      1.0098  |     0.9453  |   0.9193  |       0.9261  |              3.6496  |
------------------------------------------------------------------------------------------------------

|       6  |      0  |      1.7002  |     0.5557  |   0.5568  |               |              0.4122  |
|          |      1  |      1.3906  |     0.7373  |   0.7231  |               |              0.8216  |
|          |      2  |      1.2461  |     0.8291  |   0.7958  |               |              1.2311  |
|          |      3  |      1.1885  |     0.8506  |   0.8039  |               |              1.6441  |
|          |      4  |      1.1455  |     0.8721  |   0.8565  |               |              2.0186  |
|          |      5  |      1.1289  |     0.8828  |   0.8728  |               |              2.3938  |
|          |      6  |      1.0908  |     0.8984  |   0.8731  |               |              2.7696  |
|          |      7  |      1.0615  |     0.9131  |   0.8965  |               |              3.1911  |
|          |      8  |      0.9937  |     0.9502  |   0.9155  |               |              3.6053  |
|          |   eval  |      0.9937  |     0.9502  |   0.9155  |       0.9229  |              3.7710  |
------------------------------------------------------------------------------------------------------

|       7  |      0  |      1.6719  |     0.5771  |   0.5648  |               |              0.4124  |
|          |      1  |      1.3662  |     0.7588  |   0.6943  |               |              0.8449  |
|          |      2  |      1.2314  |     0.8379  |   0.7875  |               |              1.2894  |
|          |      3  |      1.2051  |     0.8438  |   0.8071  |               |              1.6967  |
|          |      4  |      1.1582  |     0.8623  |   0.8716  |               |              2.0912  |
|          |      5  |      1.1357  |     0.8633  |   0.8579  |               |              2.4847  |
|          |      6  |      1.0762  |     0.9023  |   0.8817  |               |              2.8977  |
|          |      7  |      1.0518  |     0.9268  |   0.8881  |               |              3.3064  |
|          |      8  |      1.0156  |     0.9424  |   0.9174  |               |              3.7209  |
|          |   eval  |      1.0156  |     0.9424  |   0.9174  |       0.9274  |              3.8871  |
------------------------------------------------------------------------------------------------------

|       8  |      0  |      1.6924  |     0.5713  |   0.5690  |               |              0.4125  |
|          |      1  |      1.3701  |     0.7598  |   0.7001  |               |              0.8464  |
|          |      2  |      1.2188  |     0.8389  |   0.8119  |               |              1.2921  |
|          |      3  |      1.1729  |     0.8564  |   0.8315  |               |              1.7201  |
|          |      4  |      1.1475  |     0.8809  |   0.8115  |               |              2.1298  |
|          |      5  |      1.1133  |     0.8857  |   0.8558  |               |              2.5388  |
|          |      6  |      1.0576  |     0.9150  |   0.8915  |               |              2.9696  |
|          |      7  |      1.0449  |     0.9248  |   0.8986  |               |              3.3832  |
|          |      8  |      0.9961  |     0.9463  |   0.9155  |               |              3.8007  |
