================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 2.5

Summary Results:
Mean Accuracy: 0.8721
Std Accuracy: 0.0022
Time Mean: 5.1493 seconds
Time Std: 2.1077 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.9541  |     0.5088  |   0.5004  |               |             10.7875  |
|          |      1  |      1.6074  |     0.6514  |   0.6447  |               |             11.2948  |
|          |      2  |      1.4111  |     0.7168  |   0.7522  |               |             11.8030  |
|          |      3  |      1.2725  |     0.8252  |   0.7904  |               |             12.2628  |
|          |      4  |      1.2305  |     0.8311  |   0.8101  |               |             12.7020  |
|          |      5  |      1.2100  |     0.8369  |   0.8377  |               |             13.1691  |
|          |      6  |      1.1602  |     0.8691  |   0.8475  |               |             13.6384  |
|          |      7  |      1.1387  |     0.8818  |   0.8531  |               |             14.1085  |
|          |      8  |      1.1201  |     0.8936  |   0.8584  |               |             14.5701  |
|          |      9  |      1.1367  |     0.8828  |   0.8636  |               |             15.0304  |
|          |   eval  |      1.1367  |     0.8828  |   0.8636  |       0.8749  |             15.1905  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.9434  |     0.5322  |   0.5080  |               |              0.4634  |
|          |      1  |      1.6201  |     0.6582  |   0.6630  |               |              0.9770  |
|          |      2  |      1.3613  |     0.7686  |   0.7352  |               |              1.4749  |
|          |      3  |      1.2744  |     0.8086  |   0.7520  |               |              1.9312  |
|          |      4  |      1.2451  |     0.8213  |   0.8138  |               |              2.3983  |
|          |      5  |      1.1797  |     0.8604  |   0.8360  |               |              2.8589  |
|          |      6  |      1.1631  |     0.8643  |   0.8452  |               |              3.3145  |
|          |      7  |      1.1416  |     0.8857  |   0.8520  |               |              3.7775  |
|          |      8  |      1.1328  |     0.8779  |   0.8558  |               |              4.2455  |
|          |      9  |      1.1260  |     0.8975  |   0.8636  |               |              4.6824  |
|          |   eval  |      1.1260  |     0.8975  |   0.8636  |       0.8744  |              4.8424  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.9521  |     0.5000  |   0.4870  |               |              0.4425  |
|          |      1  |      1.6133  |     0.6494  |   0.6485  |               |              0.9482  |
