================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 5.75

Summary Results:
Mean Accuracy: 0.9206
Std Accuracy: 0.0080
Time Mean: 3.9443 seconds
Time Std: 1.8000 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.4912  |     0.6748  |   0.5996  |               |              9.0389  |
|          |      1  |      1.2598  |     0.8164  |   0.7092  |               |              9.4608  |
|          |      2  |      1.2031  |     0.8467  |   0.7736  |               |              9.8891  |
|          |      3  |      1.1602  |     0.8633  |   0.8276  |               |             10.2998  |
|          |      4  |      1.1387  |     0.8682  |   0.8742  |               |             10.7076  |
|          |      5  |      1.1123  |     0.8809  |   0.8721  |               |             11.1154  |
|          |      6  |      1.0508  |     0.9141  |   0.8868  |               |             11.5195  |
|          |      7  |      1.0186  |     0.9316  |   0.8851  |               |             11.9276  |
|          |      8  |      0.9775  |     0.9629  |   0.9222  |               |             12.3306  |
|          |   eval  |      0.9775  |     0.9629  |   0.9222  |       0.9328  |             12.5003  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.4883  |     0.6670  |   0.6306  |               |              0.4188  |
|          |      1  |      1.2988  |     0.7734  |   0.7416  |               |              0.8529  |
|          |      2  |      1.1982  |     0.8359  |   0.8167  |               |              1.2694  |
|          |      3  |      1.1768  |     0.8516  |   0.7973  |               |              1.6511  |
|          |      4  |      1.1299  |     0.8730  |   0.8705  |               |              2.0317  |
|          |      5  |      1.0996  |     0.8887  |   0.8732  |               |              2.4370  |
|          |      6  |      1.0576  |     0.9111  |   0.8938  |               |              2.8413  |
|          |      7  |      1.0342  |     0.9316  |   0.9037  |               |              3.2267  |
|          |   eval  |      1.0342  |     0.9316  |   0.9037  |       0.9168  |              3.3960  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.4912  |     0.6572  |   0.6272  |               |              0.4257  |
|          |      1  |      1.2979  |     0.7832  |   0.7312  |               |              0.8522  |
|          |      2  |      1.1904  |     0.8467  |   0.8024  |               |              1.2789  |
|          |      3  |      1.1494  |     0.8740  |   0.8502  |               |              1.6873  |
|          |      4  |      1.1094  |     0.8916  |   0.8665  |               |              2.0892  |
|          |      5  |      1.1035  |     0.8955  |   0.8748  |               |              2.4932  |
|          |      6  |      1.0635  |     0.9092  |   0.8778  |               |              2.9000  |
|          |      7  |      1.0322  |     0.9238  |   0.9059  |               |              3.3059  |
|          |   eval  |      1.0322  |     0.9238  |   0.9059  |       0.9171  |              3.4753  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.5430  |     0.6396  |   0.6337  |               |              0.4188  |
|          |      1  |      1.3291  |     0.7725  |   0.7180  |               |              0.8464  |
|          |      2  |      1.2373  |     0.8203  |   0.7848  |               |              1.2719  |
|          |      3  |      1.2021  |     0.8301  |   0.8261  |               |              1.6796  |
|          |      4  |      1.1436  |     0.8711  |   0.8492  |               |              2.0815  |
|          |      5  |      1.0898  |     0.8955  |   0.8598  |               |              2.4714  |
|          |      6  |      1.0479  |     0.9209  |   0.8851  |               |              2.8750  |
|          |      7  |      1.0303  |     0.9336  |   0.9111  |               |              3.2801  |
|          |   eval  |      1.0303  |     0.9336  |   0.9111  |       0.9220  |              3.4506  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.5137  |     0.6572  |   0.6593  |               |              0.5374  |
|          |      1  |      1.2803  |     0.7959  |   0.7687  |               |              0.9663  |
|          |      2  |      1.1865  |     0.8506  |   0.8160  |               |              1.3980  |
|          |      3  |      1.1582  |     0.8613  |   0.8212  |               |              1.8021  |
|          |      4  |      1.1201  |     0.8818  |   0.8332  |               |              2.2080  |
|          |      5  |      1.0791  |     0.9072  |   0.8697  |               |              2.6136  |
|          |      6  |      1.0547  |     0.9180  |   0.8915  |               |              3.0179  |
|          |      7  |      1.0391  |     0.9297  |   0.8993  |               |              3.4186  |
|          |      8  |      0.9707  |     0.9668  |   0.9219  |               |              3.8234  |
|          |   eval  |      0.9707  |     0.9668  |   0.9219  |       0.9283  |              3.9932  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.5166  |     0.6562  |   0.6445  |               |              0.4211  |
