================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 23.0

Summary Results:
Mean Accuracy: 0.9265
Std Accuracy: 0.0064
Time Mean: 4.1530 seconds
Time Std: 1.6640 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.3672  |     0.7480  |   0.5800  |               |              9.1332  |
|          |      1  |      1.2725  |     0.8018  |   0.6390  |               |              9.5441  |
|          |      2  |      1.1895  |     0.8447  |   0.5916  |               |              9.9628  |
|          |      3  |      1.1641  |     0.8574  |   0.7792  |               |             10.3382  |
|          |      4  |      1.1465  |     0.8682  |   0.7978  |               |             10.7393  |
|          |      5  |      1.1104  |     0.8887  |   0.8444  |               |             11.1487  |
|          |      6  |      1.0518  |     0.9102  |   0.8797  |               |             11.5543  |
|          |      7  |      1.0254  |     0.9277  |   0.9014  |               |             11.9484  |
|          |   eval  |      1.0254  |     0.9277  |   0.9014  |       0.9125  |             12.1154  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.3711  |     0.7520  |   0.6724  |               |              0.4150  |
|          |      1  |      1.3154  |     0.7900  |   0.6161  |               |              0.8436  |
|          |      2  |      1.2188  |     0.8262  |   0.8200  |               |              1.2633  |
|          |      3  |      1.1826  |     0.8369  |   0.7910  |               |              1.6403  |
|          |      4  |      1.1729  |     0.8506  |   0.8468  |               |              2.0468  |
|          |      5  |      1.0820  |     0.9033  |   0.8454  |               |              2.4528  |
|          |      6  |      1.0547  |     0.9102  |   0.8845  |               |              2.8308  |
|          |      7  |      1.0303  |     0.9238  |   0.8801  |               |              3.2095  |
|          |      8  |      0.9751  |     0.9521  |   0.9221  |               |              3.6177  |
|          |   eval  |      0.9751  |     0.9521  |   0.9221  |       0.9320  |              3.7848  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.4033  |     0.7266  |   0.4926  |               |              0.4143  |
|          |      1  |      1.2764  |     0.7930  |   0.6697  |               |              0.8497  |
|          |      2  |      1.2373  |     0.8105  |   0.6171  |               |              1.2745  |
|          |      3  |      1.1758  |     0.8467  |   0.7490  |               |              1.6800  |
|          |      4  |      1.1592  |     0.8496  |   0.7655  |               |              2.0848  |
|          |      5  |      1.0918  |     0.8994  |   0.8629  |               |              2.4622  |
|          |      6  |      1.0459  |     0.9170  |   0.8820  |               |              2.8635  |
|          |      7  |      1.0371  |     0.9209  |   0.9034  |               |              3.2668  |
|          |   eval  |      1.0371  |     0.9209  |   0.9034  |       0.9180  |              3.4343  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.3740  |     0.7285  |   0.6765  |               |              0.4325  |
|          |      1  |      1.2432  |     0.8184  |   0.6698  |               |              0.8676  |
|          |      2  |      1.2051  |     0.8340  |   0.6284  |               |              1.2996  |
|          |      3  |      1.1504  |     0.8662  |   0.8168  |               |              1.7059  |
|          |      4  |      1.1328  |     0.8662  |   0.7769  |               |              2.1159  |
|          |      5  |      1.1201  |     0.8799  |   0.8085  |               |              2.5221  |
|          |      6  |      1.0547  |     0.9111  |   0.8710  |               |              2.8993  |
|          |      7  |      1.0156  |     0.9326  |   0.8833  |               |              3.2771  |
|          |      8  |      0.9785  |     0.9512  |   0.9149  |               |              3.6833  |
|          |   eval  |      0.9785  |     0.9512  |   0.9149  |       0.9263  |              3.8509  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.3447  |     0.7598  |   0.6801  |               |              0.5140  |
|          |      1  |      1.2568  |     0.8008  |   0.7212  |               |              0.9394  |
|          |      2  |      1.2227  |     0.8193  |   0.5547  |               |              1.3683  |
|          |      3  |      1.1963  |     0.8379  |   0.6079  |               |              1.7951  |
|          |      4  |      1.1250  |     0.8799  |   0.8441  |               |              2.2000  |
|          |      5  |      1.1064  |     0.8799  |   0.8282  |               |              2.6048  |
|          |      6  |      1.0547  |     0.9180  |   0.8551  |               |              2.9881  |
|          |      7  |      1.0244  |     0.9326  |   0.8936  |               |              3.3666  |
|          |      8  |      0.9888  |     0.9512  |   0.9204  |               |              3.7437  |
|          |   eval  |      0.9888  |     0.9512  |   0.9204  |       0.9306  |              3.9130  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.4004  |     0.7402  |   0.6761  |               |              0.4134  |
|          |      1  |      1.3584  |     0.7451  |   0.4968  |               |              0.8242  |
|          |      2  |      1.2119  |     0.8154  |   0.6446  |               |              1.2448  |
|          |      3  |      1.1621  |     0.8672  |   0.7432  |               |              1.6614  |
|          |      4  |      1.1426  |     0.8652  |   0.7985  |               |              2.0659  |
|          |      5  |      1.1006  |     0.8916  |   0.8047  |               |              2.4692  |
|          |      6  |      1.0459  |     0.9160  |   0.8615  |               |              2.8573  |
|          |      7  |      1.0273  |     0.9229  |   0.8961  |               |              3.2696  |
|          |      8  |      0.9766  |     0.9590  |   0.9214  |               |              3.6797  |
|          |   eval  |      0.9766  |     0.9590  |   0.9214  |       0.9306  |              3.8466  |
------------------------------------------------------------------------------------------------------

|       6  |      0  |      1.3857  |     0.7266  |   0.7267  |               |              0.4164  |
|          |      1  |      1.3525  |     0.7578  |   0.5228  |               |              0.8453  |
|          |      2  |      1.2109  |     0.8398  |   0.7525  |               |              1.2787  |
|          |      3  |      1.1553  |     0.8604  |   0.6986  |               |              1.6852  |
|          |      4  |      1.1504  |     0.8643  |   0.8302  |               |              2.0914  |
|          |      5  |      1.0977  |     0.8916  |   0.8356  |               |              2.4997  |
|          |      6  |      1.0527  |     0.9092  |   0.8757  |               |              2.9028  |
|          |      7  |      1.0264  |     0.9268  |   0.8573  |               |              3.3677  |
|          |      8  |      0.9956  |     0.9424  |   0.9190  |               |              3.7708  |
|          |   eval  |      0.9956  |     0.9424  |   0.9190  |       0.9273  |              3.9399  |
------------------------------------------------------------------------------------------------------

